,user_id,name,review_count,elite,fans,average_stars,compliments_total
0,qVc8ODYU5SZjKXVBgXdI7w,Walker,585,2007,267,3.91,2873
1,j14WgRoU_-2ZE1aw1dXrJg,Daniel,4333,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",3138,3.74,20631
2,2WnXYQFK0hXEoTxPtV2zvg,Steph,665,"2009,2010,2011,2012,2013",52,3.32,585
3,SZDeASXq7o05mMNLshsdIA,Gwen,224,"2009,2010,2011",28,4.27,136
4,hA5lMy-EnncsH4JoR-hFGQ,Karen,79,,1,3.54,4
5,q_QQ5kBBwlCcbL1s4NVK3g,Jane,1221,"2006,2007,2008,2009,2010,2011,2012,2013,2014",1357,3.85,15707
6,cxuxXkcihfCbqt5Byrup8Q,Rob,12,,1,2.75,1
7,E9kcWJdJUHuTKfQurPljwA,Mike,358,,23,3.73,56
8,lO1iq-f75hnPNZkTy3Zerg,Rachelle,40,,7,4.04,26
9,AUi8MPWJ0mLkMfwbui27lg,John,109,,4,3.4,13
10,iYzhPPqnrjJkg1JHZyMhzA,Chris,4,,1,4.0,0
11,xoZvMJPDW6Q9pDAXI0e_Ww,Ryan,535,"2009,2010,2011,2012",31,3.89,216
12,vVukUtqoLF5BvH_VtQFNoA,Charlene,37,,4,4.51,11
13,_crIokUeTCHVK_JVOy-0qQ,Kenny,11,,0,3.08,0
14,1McG5Rn_UDkmlkZOrsdptg,Teresa,7,,1,4.29,6
15,SgiBkhXeqIKl1PlFpZOycQ,Eugene,682,"2007,2008,2009,2010,2011",44,3.75,1031
16,fJZO_skqpnhk1kvomI4dmA,Jennifer,25,,1,4.15,14
17,x7YtLnBW2dUnrrpwaofVQQ,Ronskee,37,,9,3.84,206
18,QF1Kuhs8iwLWANNZxebTow,Catherine,607,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",131,4.11,4696
19,VcLRGCG_VbAo8MxOm76jzA,AJ,133,,4,3.6,8
20,1L3O2CUTk27SnmqyPBWQdQ,Helen,38,,0,3.98,10
21,v7DwnrjzuTk7pXmuBPZnsg,Shell,39,,6,4.0,24
22,FT9CFS39sjZxVjCTrDHmdg,Stephanie,201,"2015,2016",5,3.52,83
23,MGPQVLsODMm9ZtYQW-g_OA,Jelena,1807,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",828,4.06,12382
24,OlJ9vcVFB1iEKcZO-MS3cQ,Joz Joz Joz,348,"2006,2007,2008,2009,2010,2011,2012",116,3.93,2197
25,wAw9FHMiOZd9ROoc5x4DpQ,Zuzzi,564,"2008,2009,2010,2011",37,3.81,230
26,kggqL33iZjeHmUn1Rtdjzg,Jay,15,,9,3.5,5
27,wrNOKq0hOlz8q1N_YCNXCA,Peter,30,,5,4.33,7
28,4F0IjrUJGAieoWwHnRhIJw,Liliana,254,"2008,2009,2010,2011,2012,2013,2014",21,3.69,129
29,4ZaqBJqt7laPPs8xfWvr6A,Nina,801,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",75,3.41,306
30,zjPbmmvO4QzE_nE9uErLTg,Reis,49,,2,3.91,10
31,65uUyG9yuF0rdMh0z7ajaA,Don,715,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",37,3.79,452
32,NIhcRW6DWvk1JQhDhXwgOQ,Lia,2288,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",345,3.69,4436
33,aF3mEXDJuILmeF-9PcxAsQ,C.J.,250,2010,15,3.53,56
34,baSDvZweZk6qLY_kHPvYzQ,Michelle,300,"2010,2011",22,3.63,163
35,XLs_PhrJ7Qwn_RfgMM7Djw,Weili,90,,1,3.62,4
36,rppTTi-kfF8-qyiArNemag,Helen,460,"2010,2012,2013,2014,2015,2016,2017,2018",49,3.33,210
37,KYBEVBAP7QUlt1LjmatTJg,Matthew,460,"2008,2009,2010,2011",63,3.81,1197
38,QJI9OSEn6ujRCtrX06vs1w,J,1982,2010,316,3.61,12377
39,AkBtT43dYcttxQ3qOzPBAg,Sherri,1034,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",114,3.84,2572
40,KXZ8A8h7Q9ZJRU5TM9asjw,Joanne,102,,7,3.54,18
41,5cVgAicAhCTSrKzsKDuTdw,Chang,194,,4,3.26,26
42,HoiOETUtwO4CL0PhjDCnSw,Whitney,177,"2010,2011,2012",25,3.85,323
43,rCedFOnskGvHQTprtA4-5g,Mike,108,,2,3.87,14
44,sgCZmOkdHBiaKaE6ZKVBaA,Chris,100,,2,3.19,11
45,yzonmWerCPxEI3ROuk6caA,Julie,65,2011,5,3.57,17
46,bNJmIcxc_FRWxftI_vhpbg,Peyman,58,,0,3.06,0
47,2Yw9-N2VYZFqg2ylhpb8NA,Kathryn,11,,1,4.0,1
48,og-Pb8auVwO-BA_-4TnK9Q,Jennifer,14,,0,4.69,1
49,RDTVzWPoCeGaUujrHIWRBQ,Jenna,155,"2011,2012,2013",5,4.11,41
50,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,"2009,2010,2011",35,2.95,164
51,hluQms-QLpaqZASKlDCJHw,Adisak,70,2010,3,4.43,13
52,qsHZ6_yT870pmm4Oxvw5Og,Debbie,39,,5,3.85,2
53,ZIR96Kh35GvW2eLyQHJh1Q,David,319,"2012,2013",19,3.93,105
54,N4Y2GiUxnQOvUUHtFyayKg,Derek,90,2010,0,3.77,13
55,2l0O1EI1m0yWjFo2zSt71w,Shiho,2837,"2006,2007,2008,2009,2010,2011",492,3.92,5223
56,RgDVC3ZUBqpEe6Y1kPhIpw,Monica,1282,"2009,2010,2011,2012,2013,2014,2015,2016",804,4.17,9347
57,V6PeLHJ8D1C7utl4HzjBmg,Jay,371,"2012,2013,2014,2015,2016,2017",112,3.45,2162
58,OmjMNG77obZOKQ59o-Tx4Q,Jenna,556,"2010,2011,2012,2013,2014,2015,2016",31,3.85,228
59,B-OVAq7aQN1aPN3NiFekTg,Robert,105,,4,3.08,9
60,LwZJFLGxQwjjeOgpqTJnfw,Lucas,157,,5,3.63,23
61,lquc6IF6uGIeRomDLu9UnA,Ron,1044,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",241,3.9,3757
62,M7giQhu5iK0ESOoZi3gpfQ,Sandor,5,,1,4.5,2
63,3oDIaMM1bd7cwN0eKQv-rA,Shan,187,"2008,2009,2010",9,3.81,70
64,X7SwvRrnsZ8I3bEPGELpnQ,Jennifer,666,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",47,3.28,368
65,YuRfPsIME6v5qYr3GfFzrg,Eric,57,,2,3.37,2
66,mqc6fRbm5ZBBl4J3203ctQ,Alicia,78,"2011,2012",6,3.86,121
67,n8bbgZJLENE4dC4E743ukQ,Caithlin,4,,0,3.5,0
68,-TT5e-YQU9xLb1JAGCGkQw,Daniel,183,"2010,2011,2012,2013",11,3.89,64
69,q7iWal_rXNSHkHeCMMvZxQ,Stephanie,500,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",104,3.95,1769
70,0juMoWXC7z4c7LgQP2s3sA,JR,199,"2013,2014,2015,2016",9,3.4,65
71,vOUs1d2gsVGDkdH7_fKgMQ,Aimee,48,,1,4.2,4
72,OJorsQjotS1dIv--IVifCA,Cindy,252,"2012,2013,2014",18,3.77,75
73,KxrKVxdXGkfMJ9XwJZzoLQ,Lisa,950,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",35,3.81,194
74,VHdY6oG2JPVNjihWhOooAQ,Jessica,2101,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2627,4.22,44324
